timestamp,sensor_id,temp_C,hum_%,TVOC_ppb,eCO2_ppm,PM1_0,PM2_5,PM10
2026-03-19 17:16:13,Sensor1,22.90,22.10,0,400,2,4,4
2026-03-19 17:16:14,Sensor1,22.90,22.10,0,413,3,5,5
2026-03-19 17:16:15,Sensor1,22.90,22.00,0,421,4,5,6
2026-03-19 17:16:16,Sensor1,22.90,22.00,0,419,4,5,6
2026-03-19 17:16:16,Sensor1,22.90,22.00,0,417,2,4,5
2026-03-19 17:16:17,Sensor1,22.90,22.00,0,407,2,4,5
2026-03-19 17:16:18,Sensor1,22.90,22.00,0,410,2,4,5
2026-03-19 17:16:19,Sensor1,22.90,22.00,0,400,3,5,6
2026-03-19 17:16:20,Sensor1,22.90,22.00,0,407,3,4,6
2026-03-19 17:16:21,Sensor1,22.90,22.00,0,407,3,4,6
2026-03-19 17:16:22,Sensor1,22.90,22.00,0,414,3,5,6
2026-03-19 17:16:23,Sensor1,22.90,22.00,0,406,3,5,6
2026-03-19 17:16:24,Sensor1,22.90,22.00,0,416,3,4,6
2026-03-19 17:16:26,Sensor1,22.90,22.00,0,408,3,4,6
2026-03-19 17:16:27,Sensor1,22.90,22.00,0,411,3,4,6
2026-03-19 17:16:28,Sensor1,22.90,22.00,0,407,3,4,6
2026-03-19 17:16:29,Sensor1,22.90,22.00,0,415,4,5,7
2026-03-19 17:16:30,Sensor1,22.90,22.00,0,402,4,5,7
2026-03-19 17:16:31,Sensor1,22.90,22.00,0,402,4,5,7
2026-03-19 17:16:31,Sensor1,22.90,22.00,0,404,4,5,7
2026-03-19 17:16:32,Sensor1,22.90,22.00,0,400,3,5,6
2026-03-19 17:16:33,Sensor1,22.90,22.00,0,400,3,5,6
2026-03-19 17:16:34,Sensor1,22.90,22.00,0,402,2,3,4
2026-03-19 17:16:35,Sensor1,22.90,22.00,0,400,2,3,4
2026-03-19 17:16:36,Sensor1,22.90,22.00,0,400,2,3,4
2026-03-19 17:16:37,Sensor1,22.90,22.00,0,400,2,3,4
2026-03-19 17:16:38,Sensor1,22.90,22.00,0,400,4,4,4
2026-03-19 17:16:39,Sensor1,22.90,22.00,0,400,4,4,4
2026-03-19 17:16:41,Sensor1,22.90,22.00,0,400,3,4,4
2026-03-19 17:16:42,Sensor1,22.90,22.00,0,401,3,4,4
2026-03-19 17:16:43,Sensor1,22.90,22.00,0,400,3,4,4
2026-03-19 17:16:44,Sensor1,22.90,22.00,0,400,2,3,3
2026-03-19 17:16:45,Sensor1,22.90,21.90,0,400,2,3,5
2026-03-19 17:16:45,Sensor1,22.90,21.90,0,400,2,3,5
2026-03-19 17:16:46,Sensor1,22.90,21.90,0,400,2,3,5
2026-03-19 17:16:47,Sensor1,22.90,21.90,0,401,2,3,5
2026-03-19 17:16:48,Sensor1,22.90,21.90,0,406,2,3,5
2026-03-19 17:16:49,Sensor1,22.90,21.90,0,408,1,2,4
2026-03-19 17:16:50,Sensor1,22.90,21.90,0,406,1,2,3
2026-03-19 17:16:51,Sensor1,22.90,21.90,0,403,1,2,3
2026-03-19 17:16:52,Sensor1,22.90,21.90,0,400,1,2,3
2026-03-19 17:16:53,Sensor1,22.90,21.90,0,404,2,3,4
2026-03-19 17:16:54,Sensor1,22.90,21.90,0,403,2,3,4
2026-03-19 17:16:56,Sensor1,22.90,21.90,0,402,2,3,5
2026-03-19 17:16:57,Sensor1,22.90,21.90,0,410,2,3,5
2026-03-19 17:16:58,Sensor1,22.90,21.90,0,400,2,3,5
2026-03-19 17:16:59,Sensor1,22.90,21.90,0,400,2,3,5
2026-03-19 17:17:00,Sensor1,22.90,21.90,0,400,2,3,5
2026-03-19 17:17:00,Sensor1,22.90,21.80,0,400,2,3,6
2026-03-19 17:17:01,Sensor1,22.90,21.80,0,400,2,3,6
2026-03-19 17:17:02,Sensor1,22.90,21.80,0,404,2,4,5
2026-03-19 17:17:03,Sensor1,22.90,21.80,0,401,2,4,5
2026-03-19 17:17:04,Sensor1,23.00,21.80,0,400,3,4,5
2026-03-19 17:17:05,Sensor1,23.00,21.80,0,400,3,4,5
2026-03-19 17:17:06,Sensor1,22.90,21.80,0,408,3,4,5
2026-03-19 17:17:07,Sensor1,22.90,21.80,0,416,3,4,5
2026-03-19 17:17:08,Sensor1,22.90,21.80,0,410,3,4,6
2026-03-19 17:17:10,Sensor1,22.90,21.80,0,411,3,4,5
2026-03-19 17:17:11,Sensor1,22.90,21.80,0,413,3,4,6
2026-03-19 17:17:12,Sensor1,22.90,21.80,0,410,3,4,6
2026-03-19 17:17:13,Sensor1,22.90,21.80,0,403,2,3,5
2026-03-19 17:17:14,Sensor1,22.90,21.80,0,400,2,3,5
2026-03-19 17:17:15,Sensor1,22.90,21.80,0,400,2,3,5
2026-03-19 17:17:15,Sensor1,22.90,21.80,0,410,2,3,5
2026-03-19 17:17:16,Sensor1,22.90,21.70,0,409,4,5,6
2026-03-19 17:17:17,Sensor1,22.90,21.70,0,400,4,5,6
2026-03-19 17:17:18,Sensor1,22.90,21.70,0,400,4,5,5
2026-03-19 17:17:19,Sensor1,22.90,21.70,0,407,4,5,5
2026-03-19 17:17:20,Sensor1,22.90,21.60,0,406,4,5,5
2026-03-19 17:17:21,Sensor1,22.90,21.60,0,409,4,5,5
2026-03-19 17:17:22,Sensor1,22.90,21.60,0,409,4,5,5
2026-03-19 17:17:23,Sensor1,22.90,21.60,0,412,4,5,5
2026-03-19 17:17:25,Sensor1,22.90,21.60,0,415,4,6,6
2026-03-19 17:17:26,Sensor1,22.90,21.60,0,411,4,6,6
2026-03-19 17:17:27,Sensor1,22.90,21.60,0,404,5,7,8
2026-03-19 17:17:28,Sensor1,22.90,21.60,0,412,5,7,8
2026-03-19 17:17:29,Sensor1,23.00,21.60,0,406,5,7,10
2026-03-19 17:17:30,Sensor1,23.00,21.60,0,412,5,7,10
2026-03-19 17:17:31,Sensor1,22.90,21.60,0,417,5,7,10
2026-03-19 17:17:32,Sensor1,22.90,21.60,0,412,5,7,10
2026-03-19 17:17:33,Sensor1,22.90,21.60,0,423,5,7,10
2026-03-19 17:17:34,Sensor1,22.90,21.60,0,417,5,7,10
2026-03-19 17:17:35,Sensor1,22.90,21.60,0,431,3,6,9
2026-03-19 17:17:36,Sensor1,22.90,21.60,0,417,3,6,9
2026-03-19 17:17:37,Sensor1,22.90,21.60,0,426,3,6,9
2026-03-19 17:17:38,Sensor1,22.90,21.60,0,430,4,6,9
2026-03-19 17:17:39,Sensor1,22.90,21.60,0,419,4,6,9
2026-03-19 17:17:40,Sensor1,22.90,21.60,0,422,4,6,9
2026-03-19 17:17:41,Sensor1,22.90,21.60,0,411,4,6,9
2026-03-19 17:17:42,Sensor1,22.90,21.60,0,416,4,6,9
2026-03-19 17:17:43,Sensor1,22.90,21.60,0,421,4,6,9
2026-03-19 17:17:44,Sensor1,22.90,21.60,0,419,4,6,9
2026-03-19 17:17:45,Sensor1,22.90,21.60,0,410,4,6,7
2026-03-19 17:17:46,Sensor1,22.90,21.60,0,412,4,6,7
2026-03-19 17:17:47,Sensor1,22.90,21.60,0,425,3,5,6
2026-03-19 17:17:48,Sensor1,22.90,21.60,0,419,3,5,6
2026-03-19 17:17:49,Sensor1,22.90,21.60,0,420,3,5,5
2026-03-19 17:17:50,Sensor1,22.90,21.60,0,425,3,5,5
2026-03-19 17:17:51,Sensor1,22.90,21.60,0,431,4,6,6
2026-03-19 17:17:52,Sensor1,22.90,21.60,0,414,4,6,6
2026-03-19 17:17:53,Sensor1,22.90,21.60,0,421,4,6,6
2026-03-19 17:17:54,Sensor1,22.90,21.60,0,422,4,6,6
2026-03-19 17:17:55,Sensor1,22.90,21.60,0,416,4,6,7
2026-03-19 17:17:56,Sensor1,22.90,21.60,0,421,4,6,7
2026-03-19 17:17:57,Sensor1,22.90,21.60,0,419,4,6,6
2026-03-19 17:17:58,Sensor1,22.90,21.60,0,417,4,6,6
2026-03-19 17:17:59,Sensor1,22.90,21.60,0,423,4,5,6
2026-03-19 17:18:00,Sensor1,22.90,21.60,0,416,4,5,6
2026-03-19 17:18:01,Sensor1,22.90,21.60,0,431,4,5,6
2026-03-19 17:18:02,Sensor1,22.90,21.60,0,422,4,5,6
2026-03-19 17:18:03,Sensor1,22.90,21.60,0,418,4,5,6
2026-03-19 17:18:04,Sensor1,22.90,21.60,0,425,4,5,6
2026-03-19 17:18:05,Sensor1,22.90,21.50,0,423,4,5,5
2026-03-19 17:18:06,Sensor1,22.90,21.50,0,418,4,5,5
2026-03-19 17:18:07,Sensor1,22.90,21.50,0,412,4,5,5
2026-03-19 17:18:08,Sensor1,22.90,21.50,0,418,4,5,5
2026-03-19 17:18:09,Sensor1,22.90,21.60,0,406,4,5,7
2026-03-19 17:18:10,Sensor1,22.90,21.60,0,413,4,5,7
2026-03-19 17:18:11,Sensor1,22.90,21.50,0,413,3,5,6
2026-03-19 17:18:12,Sensor1,22.90,21.50,0,422,3,5,6
2026-03-19 17:18:13,Sensor1,22.90,21.50,0,414,4,5,7
2026-03-19 17:18:14,Sensor1,22.90,21.50,0,420,4,5,7
2026-03-19 17:18:15,Sensor1,22.90,21.50,0,425,4,6,7
2026-03-19 17:18:16,Sensor1,22.90,21.50,0,422,4,6,7
2026-03-19 17:18:17,Sensor1,22.90,21.50,0,417,4,6,8
2026-03-19 17:18:18,Sensor1,22.90,21.50,0,418,4,6,8
2026-03-19 17:18:19,Sensor1,22.90,21.50,0,409,4,6,7
2026-03-19 17:18:20,Sensor1,22.90,21.50,0,415,4,6,7
2026-03-19 17:18:21,Sensor1,22.90,21.50,0,405,4,5,7
2026-03-19 17:18:22,Sensor1,22.90,21.50,0,400,4,5,8
2026-03-19 17:18:23,Sensor1,22.90,21.60,0,400,4,6,8
2026-03-19 17:18:24,Sensor1,22.90,21.60,0,400,4,6,8
2026-03-19 17:18:25,Sensor1,22.90,21.60,0,400,4,6,8
2026-03-19 17:18:26,Sensor1,22.90,21.60,0,400,4,6,8
