timestamp,sensor_id,temp_C,hum_%,TVOC_ppb,eCO2_ppm,PM1_0,PM2_5,PM10
2026-03-19 17:16:12,Sensor2,23.50,22.50,6,410,5,5,10
2026-03-19 17:16:13,Sensor2,23.50,22.50,6,412,5,5,10
2026-03-19 17:16:14,Sensor2,23.50,22.50,5,400,4,5,10
2026-03-19 17:16:15,Sensor2,23.50,22.50,6,404,4,5,10
2026-03-19 17:16:16,Sensor2,23.50,22.50,8,411,4,4,7
2026-03-19 17:16:17,Sensor2,23.50,22.50,6,406,4,4,7
2026-03-19 17:16:18,Sensor2,23.50,22.50,8,410,4,5,9
2026-03-19 17:16:19,Sensor2,23.50,22.50,1,400,4,5,9
2026-03-19 17:16:20,Sensor2,23.50,22.50,2,400,4,5,9
2026-03-19 17:16:22,Sensor2,23.50,22.50,6,400,4,5,9
2026-03-19 17:16:23,Sensor2,23.50,22.50,8,400,4,4,7
2026-03-19 17:16:24,Sensor2,23.50,22.50,11,400,4,4,7
2026-03-19 17:16:25,Sensor2,23.50,22.50,2,400,3,3,3
2026-03-19 17:16:26,Sensor2,23.50,22.50,9,400,3,3,3
2026-03-19 17:16:26,Sensor2,23.50,22.50,9,400,3,3,3
2026-03-19 17:16:27,Sensor2,23.50,22.50,0,400,3,3,3
2026-03-19 17:16:28,Sensor2,23.50,22.50,0,400,3,3,4
2026-03-19 17:16:29,Sensor2,23.50,22.50,8,400,3,3,4
2026-03-19 17:16:30,Sensor2,23.50,22.50,2,400,3,3,4
2026-03-19 17:16:31,Sensor2,23.50,22.50,7,400,3,3,4
2026-03-19 17:16:32,Sensor2,23.50,22.50,0,400,3,3,4
2026-03-19 17:16:33,Sensor2,23.50,22.50,0,400,3,3,4
2026-03-19 17:16:34,Sensor2,23.50,22.50,8,400,3,3,4
2026-03-19 17:16:35,Sensor2,23.50,22.50,2,400,3,3,4
2026-03-19 17:16:36,Sensor2,23.50,22.50,8,400,3,3,3
2026-03-19 17:16:38,Sensor2,23.50,22.50,5,400,3,3,4
2026-03-19 17:16:39,Sensor2,23.50,22.50,0,400,2,3,3
2026-03-19 17:16:40,Sensor2,23.50,22.50,2,400,2,3,3
2026-03-19 17:16:41,Sensor2,23.50,22.50,0,400,3,3,4
2026-03-19 17:16:41,Sensor2,23.50,22.50,0,400,3,3,4
2026-03-19 17:16:42,Sensor2,23.50,22.40,7,400,3,3,5
2026-03-19 17:16:43,Sensor2,23.50,22.40,0,400,3,3,5
2026-03-19 17:16:44,Sensor2,23.50,22.40,3,400,3,3,5
2026-03-19 17:16:45,Sensor2,23.50,22.40,8,400,3,3,5
2026-03-19 17:16:46,Sensor2,23.50,22.40,9,400,3,3,4
2026-03-19 17:16:47,Sensor2,23.50,22.40,6,400,3,3,4
2026-03-19 17:16:48,Sensor2,23.50,22.40,13,400,2,3,3
2026-03-19 17:16:49,Sensor2,23.50,22.40,10,400,2,3,3
2026-03-19 17:16:50,Sensor2,23.50,22.40,3,400,2,3,3
2026-03-19 17:16:52,Sensor2,23.50,22.40,6,400,3,3,5
2026-03-19 17:16:53,Sensor2,23.50,22.40,7,400,3,3,5
2026-03-19 17:16:54,Sensor2,23.50,22.40,5,400,3,3,5
2026-03-19 17:16:55,Sensor2,23.50,22.30,1,400,3,3,5
2026-03-19 17:16:56,Sensor2,23.50,22.30,2,400,3,3,5
2026-03-19 17:16:56,Sensor2,23.50,22.30,1,400,2,3,5
2026-03-19 17:16:57,Sensor2,23.50,22.30,1,400,2,3,5
2026-03-19 17:16:58,Sensor2,23.50,22.30,3,400,3,3,5
2026-03-19 17:16:59,Sensor2,23.50,22.30,1,400,3,3,5
2026-03-19 17:17:00,Sensor2,23.50,22.30,1,400,3,4,5
2026-03-19 17:17:01,Sensor2,23.50,22.30,0,400,3,4,5
2026-03-19 17:17:02,Sensor2,23.50,22.30,0,400,3,3,5
2026-03-19 17:17:03,Sensor2,23.50,22.30,0,400,3,3,5
2026-03-19 17:17:04,Sensor2,23.50,22.30,0,400,3,3,5
2026-03-19 17:17:05,Sensor2,23.50,22.30,4,400,3,3,5
2026-03-19 17:17:07,Sensor2,23.50,22.30,0,400,3,3,5
2026-03-19 17:17:08,Sensor2,23.50,22.30,3,400,3,3,5
2026-03-19 17:17:09,Sensor2,23.50,22.30,13,402,2,3,3
2026-03-19 17:17:10,Sensor2,23.50,22.30,4,400,2,3,3
2026-03-19 17:17:10,Sensor2,23.50,22.20,9,407,3,3,3
2026-03-19 17:17:11,Sensor2,23.50,22.20,12,406,3,3,3
2026-03-19 17:17:12,Sensor2,23.50,22.30,10,400,3,3,3
2026-03-19 17:17:13,Sensor2,23.50,22.30,11,405,3,3,3
2026-03-19 17:17:14,Sensor2,23.50,22.20,11,402,3,3,3
2026-03-19 17:17:15,Sensor2,23.50,22.20,14,401,3,3,3
2026-03-19 17:17:16,Sensor2,23.50,22.20,12,405,3,3,3
2026-03-19 17:17:17,Sensor2,23.50,22.20,6,400,3,3,3
2026-03-19 17:17:18,Sensor2,23.50,22.20,5,400,2,2,2
2026-03-19 17:17:19,Sensor2,23.50,22.20,11,400,2,2,2
2026-03-19 17:17:20,Sensor2,23.50,22.20,4,400,2,2,2
2026-03-19 17:17:22,Sensor2,23.50,22.20,7,400,2,3,3
2026-03-19 17:17:23,Sensor2,23.50,22.20,4,400,3,3,3
2026-03-19 17:17:24,Sensor2,23.50,22.20,5,400,3,3,3
2026-03-19 17:17:25,Sensor2,23.50,22.10,7,400,3,3,3
2026-03-19 17:17:25,Sensor2,23.50,22.10,2,400,3,3,3
2026-03-19 17:17:26,Sensor2,23.50,22.10,7,400,3,3,3
2026-03-19 17:17:27,Sensor2,23.50,22.10,2,400,3,3,3
2026-03-19 17:17:28,Sensor2,23.50,22.10,0,400,3,3,3
2026-03-19 17:17:29,Sensor2,23.50,22.10,1,400,3,3,3
2026-03-19 17:17:30,Sensor2,23.50,22.10,0,400,3,3,3
2026-03-19 17:17:31,Sensor2,23.50,22.10,7,400,3,3,3
2026-03-19 17:17:32,Sensor2,23.50,22.10,8,406,3,3,3
2026-03-19 17:17:33,Sensor2,23.50,22.10,9,412,3,3,3
2026-03-19 17:17:34,Sensor2,23.50,22.10,5,408,3,3,3
2026-03-19 17:17:36,Sensor2,23.50,22.10,7,408,2,2,2
2026-03-19 17:17:37,Sensor2,23.50,22.10,6,407,2,2,2
2026-03-19 17:17:38,Sensor2,23.50,22.10,11,414,2,2,2
2026-03-19 17:17:39,Sensor2,23.50,22.10,8,416,3,3,3
2026-03-19 17:17:39,Sensor2,23.50,22.10,14,416,3,3,3
2026-03-19 17:17:40,Sensor2,23.50,22.10,5,403,3,4,4
2026-03-19 17:17:41,Sensor2,23.50,22.10,11,406,3,4,4
2026-03-19 17:17:42,Sensor2,23.50,22.10,0,400,3,4,4
2026-03-19 17:17:43,Sensor2,23.50,22.10,5,400,3,4,4
2026-03-19 17:17:44,Sensor2,23.50,22.10,5,400,3,4,4
2026-03-19 17:17:45,Sensor2,23.50,22.10,5,405,3,4,4
2026-03-19 17:17:46,Sensor2,23.50,22.10,5,400,4,4,4
2026-03-19 17:17:47,Sensor2,23.50,22.10,2,400,4,4,4
2026-03-19 17:17:48,Sensor2,23.50,22.10,4,408,4,4,4
2026-03-19 17:17:49,Sensor2,23.50,22.10,3,400,4,4,4
2026-03-19 17:17:51,Sensor2,23.50,22.10,0,408,3,4,4
2026-03-19 17:17:52,Sensor2,23.50,22.10,0,403,3,4,4
2026-03-19 17:17:53,Sensor2,23.50,22.10,7,403,4,4,4
2026-03-19 17:17:54,Sensor2,23.50,22.10,8,404,4,4,4
2026-03-19 17:17:55,Sensor2,23.50,22.00,3,408,3,3,5
2026-03-19 17:17:55,Sensor2,23.50,22.00,6,407,3,3,5
2026-03-19 17:17:56,Sensor2,23.50,22.10,6,409,3,3,5
2026-03-19 17:17:57,Sensor2,23.50,22.10,5,402,3,3,5
2026-03-19 17:17:58,Sensor2,23.50,22.10,0,407,3,3,5
2026-03-19 17:17:59,Sensor2,23.50,22.10,11,415,3,3,5
2026-03-19 17:18:00,Sensor2,23.50,22.10,12,411,2,3,4
2026-03-19 17:18:01,Sensor2,23.50,22.10,14,412,2,3,4
2026-03-19 17:18:02,Sensor2,23.50,22.10,0,412,3,3,4
2026-03-19 17:18:03,Sensor2,23.50,22.10,0,407,3,3,4
2026-03-19 17:18:04,Sensor2,23.50,22.10,4,401,2,3,4
2026-03-19 17:18:06,Sensor2,23.50,22.10,0,400,2,3,5
2026-03-19 17:18:07,Sensor2,23.50,22.00,4,400,2,3,6
2026-03-19 17:18:08,Sensor2,23.50,22.00,7,400,2,3,6
2026-03-19 17:18:09,Sensor2,23.50,22.00,6,400,3,3,6
2026-03-19 17:18:09,Sensor2,23.50,22.00,2,400,3,3,6
2026-03-19 17:18:10,Sensor2,23.50,22.00,7,401,4,4,7
2026-03-19 17:18:11,Sensor2,23.50,22.00,12,400,4,4,7
2026-03-19 17:18:12,Sensor2,23.50,22.00,0,400,3,4,5
2026-03-19 17:18:13,Sensor2,23.50,22.00,8,408,3,4,5
2026-03-19 17:18:14,Sensor2,23.50,22.00,8,400,3,4,5
2026-03-19 17:18:15,Sensor2,23.50,22.00,8,412,3,4,5
2026-03-19 17:18:16,Sensor2,23.50,22.00,10,401,3,4,5
2026-03-19 17:18:17,Sensor2,23.50,22.00,12,403,3,4,5
2026-03-19 17:18:18,Sensor2,23.50,22.00,9,402,3,4,5
2026-03-19 17:18:19,Sensor2,23.50,22.00,14,400,3,4,5
2026-03-19 17:18:21,Sensor2,23.50,22.00,9,400,3,4,5
2026-03-19 17:18:22,Sensor2,23.50,22.00,9,400,3,4,5
2026-03-19 17:18:23,Sensor2,23.50,22.10,6,400,3,3,3
2026-03-19 17:18:24,Sensor2,23.50,22.10,13,400,3,3,3
2026-03-19 17:18:24,Sensor2,23.50,22.10,11,400,3,3,3
2026-03-19 17:18:25,Sensor2,23.50,22.10,12,400,3,3,3
2026-03-19 17:18:26,Sensor2,23.50,22.20,9,400,2,3,3
2026-03-19 17:18:27,Sensor2,23.50,22.20,0,400,2,3,3
2026-03-19 17:18:28,Sensor2,23.50,22.20,0,400,2,2,2
2026-03-19 17:18:29,Sensor2,23.50,22.20,2,400,2,2,2
2026-03-19 17:18:30,Sensor2,23.50,22.10,2,400,2,3,3
2026-03-19 17:18:31,Sensor2,23.50,22.10,0,400,2,3,3
2026-03-19 17:18:32,Sensor2,23.50,22.10,0,400,3,3,3
2026-03-19 17:18:33,Sensor2,23.50,22.10,0,400,3,3,3
2026-03-19 17:18:34,Sensor2,23.50,22.10,0,400,3,3,3
2026-03-19 17:18:36,Sensor2,23.50,22.10,0,400,3,3,3
2026-03-19 17:18:37,Sensor2,23.50,22.00,7,400,3,3,5
2026-03-19 17:18:38,Sensor2,23.50,22.00,3,400,3,3,5
2026-03-19 17:18:39,Sensor2,23.50,22.00,1,400,3,3,4
2026-03-19 17:18:40,Sensor2,23.50,22.00,12,400,3,3,4
2026-03-19 17:18:41,Sensor2,23.50,22.00,0,400,3,3,4
2026-03-19 17:18:42,Sensor2,23.50,22.00,13,400,3,3,4
2026-03-19 17:18:43,Sensor2,23.50,22.00,9,400,3,3,5
2026-03-19 17:18:44,Sensor2,23.50,22.00,9,400,3,3,5
2026-03-19 17:18:48,Sensor2,23.50,21.90,14,400,3,3,5
2026-03-19 17:18:48,Sensor2,23.50,21.90,14,400,3,3,5
2026-03-19 17:18:48,Sensor2,23.50,22.00,12,400,3,4,5
